Title,Visited (Local Time)
"Rosyln • Bon Iver, St. Vincent",11:19:10 PM
Keep Fighting • Eric Thomas,11:19:09 PM
Kathleen Baker Q&A: How Crohn's disease made me a stronger swimmer,10:34:44 PM
kathleen baker - Search,10:34:43 PM
(No title),10:34:42 PM
Keep Fighting • Eric Thomas,10:21:39 PM
Job Applications - github maxxing,10:12:01 PM
AWS Nvidia Hackathon - day 1,10:11:57 PM
ChatGPT,10:11:56 PM
Job Applications - github maxxing,10:11:52 PM
how to snap to grid in excalidraw - Search,10:10:56 PM
4chan - Search,10:06:27 PM
Bing Videos,10:02:21 PM
turkey tom - Search Videos,10:02:05 PM
Bing Videos,10:00:20 PM
turkey tom - Search,10:00:11 PM
(No title),10:00:11 PM
turkey tom - Search Images,10:00:10 PM
turkey tom - Search Images,10:00:08 PM
(No title),10:00:08 PM
What is with the Hamza hate? : r/selfimprovement,09:58:51 PM
hamza breaks up with gf - Search,09:58:50 PM
(No title),09:58:50 PM
Bing Videos,09:33:03 PM
how to snap to grid in excalidraw - Search,09:33:02 PM
(No title),09:33:02 PM
how to align stuff in excalidraw - Search,09:23:14 PM
shaun musician - Search,09:22:27 PM
shaun - Search,09:22:22 PM
SHAUN | Spotify,09:22:13 PM
Daily Mix 3 | Spotify Playlist,09:22:00 PM
Spotify - Web Player: Music for everyone,09:21:14 PM
Spotify - Web Player: Music for everyone,09:21:14 PM
Abbey Events! — The Abbey,09:19:21 PM
Abbey Events! — The Abbey,09:19:21 PM
Abbey Events! — The Abbey,09:19:21 PM
Abbey Events! — The Abbey,09:19:21 PM
Abbey Guest,09:19:19 PM
Abbey Guest,09:19:19 PM
did youtube disable playback speed - Search,07:25:52 PM
Bing Videos,07:25:14 PM
how to align stuff in excalidraw - Search,07:25:14 PM
(No title),07:25:13 PM
Blocked by Cold Turkey,07:25:00 PM
(No title),07:24:59 PM
spence vs brook - Search,07:13:36 PM
Bing Videos,07:09:45 PM
breazeale vs devin vargas - Search Videos,07:09:30 PM
breazeale vs vargas - Search Videos,07:09:24 PM
Bing Videos,07:08:36 PM
Bing Videos,07:08:12 PM
Bing Videos,06:56:58 PM
brandun lee vs pedro campa - Search Videos,06:56:50 PM
Bing Videos,06:54:29 PM
spence vs brook - Search,06:54:29 PM
(No title),06:54:29 PM
Create workspace — Excalidraw Plus,04:32:20 PM
Create workspace — Excalidraw Plus,04:32:05 PM
Excalidraw Plus,04:32:03 PM
(No title),04:32:00 PM
(No title),04:32:00 PM
Sign in - Google Accounts,04:31:58 PM
Sign in - Google Accounts,04:31:58 PM
Sign in - Google Accounts,04:31:56 PM
Sign in - Google Accounts,04:31:56 PM
Sign in - Google Accounts,04:31:55 PM
Sign in - Google Accounts,04:31:54 PM
Sign-in — Excalidraw Plus,04:31:49 PM
Excalidraw+,04:31:48 PM
Blocked by Cold Turkey,04:24:31 PM
• Discord | #the-pub | 𝐓𝐡𝐞 𝐏𝐮𝐛,04:21:30 PM
Spotify – Search,04:07:06 PM
Spotify – Search,04:07:05 PM
Balaclava - Search,04:05:44 PM
durag - Search,04:05:44 PM
(No title),04:05:43 PM
Jake Paul being sassy. Ai Generated - YouTube,04:05:13 PM
MLK Alternate Timelines #ai#mlk #dream #nightmare #sora #black #culture #america #60s #hood #fella - YouTube,04:04:33 PM
MLK iced up 🥶🥶🥶💎💎💎 #funny #sora #AI #viral #memes #mlk #shorts #trending - YouTube,04:04:24 PM
“DJ MLK.” #ai #sora #trending #viral #fyp #comedy #mlk #dj #dream #pov #funny #youtubeshorts #miami - YouTube,04:04:13 PM
Jake paul is gay!!! #jakepaul #ai #sora - YouTube,04:03:58 PM
Jake Paul announces his next opponent #sora #ai #funny #shorts #jakepaul - YouTube,04:02:23 PM
Jake Paul at it again 😭 #sora #ai - YouTube,04:02:07 PM
mlk with driptalk #mlk #ai #sora2 - YouTube,04:01:53 PM
Ai Martin Luther King Jr..! Is crazy smh ‪@NoFaceJay22‬ - YouTube,04:01:47 PM
Playlists - YouTube,04:01:45 PM
youtube.com/@AGuyCalledHenry,04:01:16 PM
Vergil Oritz KOs Lubin and faces Boots Ennis - live reaction #boxing #vergilortiz - YouTube,04:00:25 PM
Hamza crossed the line.. - YouTube,04:00:16 PM
• Discord | #hentai-store | The Somalis,03:59:54 PM
• Discord | #japan-ban-list | The Somalis,03:59:52 PM
Discord,03:59:44 PM
Discord,03:59:37 PM
youtube.com/results?search_query=hamza,03:54:50 PM
youtube.com/@Hamza97,03:54:49 PM
Hamza - YouTube,03:54:35 PM
原子邦妮 Astro Bunny 【浮生】官方歌詞 MV (Lyric) - YouTube,03:53:01 PM
Full Fight | Anthony Joshua Vs Dominic Breazeale TKO - YouTube,03:47:33 PM
dominic breazeale vs joshua - YouTube,03:47:29 PM
"GBM The Heist | Full Fight Card Highlights | £30,000 Prize For Winner - YouTube",07:28:55 AM
SPECTACULAR STOPPAGE!! Vergil Ortiz Jr. vs. Erickson Lubin | Fight Highlights - YouTube,07:23:36 AM
lubin vs ortiz - YouTube,07:23:33 AM
lubin vs ortiz - Search Videos,07:22:59 AM
lubin vs ortiz - Search,07:22:59 AM
(No title),07:22:59 AM
Spotify – Search,07:22:36 AM
Spotify – Search,07:22:35 AM
Spotify – Search,07:22:31 AM
• Discord | My Account | User Settings,07:12:02 AM
• Discord | #general | UCSC Boxing Club,07:11:21 AM
• Discord | #schedule⏰ | UCSC Boxing Club,07:11:20 AM
Bing Videos,05:05:51 AM
ortiz vs lubin full fight - Search Videos,05:05:29 AM
ortiz vs lubin - Search Videos,05:05:21 AM
ortiz vs lubin - Search,05:05:21 AM
(No title),05:05:21 AM
Fundora vs. Thurman: The Towering Inferno Gets a One Time Chance,04:49:26 AM
fundora vs thurman - Search,04:49:25 AM
(No title),04:49:25 AM
lubin vs ortiz - Search,04:48:45 AM
"Vergil Ortiz Jr. demolishes Erickson Lubin in 2 rounds, faces off with Jaron 'Boots' Ennis - Yahoo Sports",04:48:16 AM
(No title),04:48:15 AM
Claressa Shields lands unprecedented $8M deal ahead of 2026 return — with few real rivals in sight - Yahoo Sports,04:40:39 AM
"DAZN Boxing on X: ""and that is it!! 😦 Joshua Edwards gets the STOPPAGE win over Zeno Vooris #OrtizLubin | Live NOW on DAZN ▪️ https://t.co/gFme8rTbiS"" / X",04:39:51 AM
ortiz vs lubin - Search,04:37:51 AM
how to change stroke color in draw.io - Search,04:28:33 AM
(No title),04:24:37 AM
(No title),04:24:37 AM
Spotify – Advertisement,04:09:20 AM
Architecture Diagrams | Lucidchart,04:02:20 AM
"沉溺（你让我的心不再结冰） • 邹沛沛, Pank",03:51:00 AM
Shape styles in draw.io - draw.io,03:25:43 AM
how to change stroke color in draw.io - Search,03:25:42 AM
(No title),03:25:42 AM
New Dark Mode · jgraph/drawio · Discussion #4713,03:25:11 AM
Untitled Diagram - draw.io,03:15:08 AM
Untitled Diagram - draw.io,03:15:08 AM
Untitled Diagram - draw.io,03:15:08 AM
Untitled – Figma,03:14:56 AM
Untitled – Figma,03:14:55 AM
Figma,03:14:53 AM
Inbox (11) - franklinywang@gmail.com - Gmail,03:13:57 AM
Inbox (11) - franklinywang@gmail.com - Gmail,03:13:55 AM
Inbox (11) - franklinywang@gmail.com - Gmail,03:13:55 AM
zhang vs joyce 1 - Search,03:13:44 AM
Bing Videos,03:10:43 AM
Bing Videos,03:10:23 AM
Bing Videos,03:10:11 AM
Bing Videos,03:09:53 AM
Bing Videos,03:09:27 AM
Bing Videos,03:08:49 AM
Bing Videos,03:08:28 AM
Bing Videos,03:07:56 AM
• Discord | @Adrian,03:06:22 AM
Bing Videos,03:01:55 AM
Bing Videos,03:01:49 AM
Bing Videos,03:01:04 AM
Bing Videos,02:40:25 AM
zhang vs joyce 1 - Search,02:40:25 AM
(No title),02:40:25 AM
Spotify – Search,02:39:52 AM
Google Docs,02:38:56 AM
Spotify – Search,02:38:46 AM
Spotify – Search,02:38:45 AM
Spotify – Search,02:38:45 AM
Spotify – Search,02:38:44 AM
Spotify – Search,02:38:44 AM
beats - playlist by franklinnnwang | Spotify,02:38:30 AM
WhAt ArE sOmE gOoD pRoJeCtS? : r/csMajors,02:38:27 AM
reddit best website for system architecture diagrams - Search,12:51:16 AM
What softwares/websites you use for designing high level architecture diagrams when planning for a software? : r/softwarearchitecture,12:35:46 AM
reddit best website for system architecture diagrams - Search,12:35:46 AM
(No title),12:35:46 AM
excalidraw - Search,12:29:02 AM
(No title),12:29:02 AM
Untitled – Figma,12:28:07 AM
Untitled – Figma,12:27:41 AM
Untitled – Figma,12:27:40 AM
Untitled – Figma,12:27:37 AM
Untitled – Figma,12:27:35 AM
Untitled – Figma,12:27:32 AM
Untitled – Figma,12:27:29 AM
Untitled – Figma,12:27:18 AM
Untitled – Figma,12:26:55 AM
Untitled – Figma,12:26:49 AM
Untitled – Figma,12:26:31 AM
Untitled – Figma,12:26:27 AM
Untitled – Figma,12:26:25 AM
Untitled – Figma,12:26:15 AM
Untitled – Figma,12:26:12 AM
Untitled – Figma,12:25:59 AM
Untitled – Figma,12:25:58 AM
Untitled – Figma,12:25:57 AM
Untitled – Figma,12:25:50 AM
Untitled – Figma,12:25:47 AM
Untitled – Figma,12:25:25 AM
Untitled – Figma,12:24:32 AM
Untitled – Figma,12:24:30 AM
Untitled – Figma,12:23:57 AM
Untitled – Figma,12:23:55 AM
Untitled – Figma,12:23:54 AM
Untitled – Figma,12:23:53 AM
Untitled – Figma,12:23:51 AM
Untitled – Figma,12:23:45 AM
Untitled – Figma,12:19:34 AM
Untitled – Figma,12:19:06 AM
Untitled – Figma,12:17:33 AM
"He's a Pirate (From ""Pirates of the Caribbean"") - Piano Version • Patrik Pietschmann",12:11:38 AM
"He's a Pirate (From ""Pirates of the Caribbean"") - Piano Version • Patrik Pietschmann",12:11:37 AM
(2) Discord | peyton 2026,12:04:17 AM
(1) Discord | #info✅ | UCSC Boxing Club,12:04:09 AM
